term,pos,notes,is_case_sensitive,translation_ar,notes_ar,translation_ast,notes_ast,translation_bg,notes_bg,translation_br,notes_br,translation_ca,notes_ca,translation_cs,notes_cs,translation_da,notes_da,translation_de,notes_de,translation_el,notes_el,translation_en_ca,notes_en_ca,translation_en_gb,notes_en_gb,translation_en_us,notes_en_us,translation_eo,notes_eo,translation_es,notes_es,translation_et,notes_et,translation_eu,notes_eu,translation_fa,notes_fa,translation_fi,notes_fi,translation_fr,notes_fr,translation_fy,notes_fy,translation_ga,notes_ga,translation_gd,notes_gd,translation_gl,notes_gl,translation_he,notes_he,translation_hi,notes_hi,translation_hr,notes_hr,translation_hu,notes_hu,translation_ia,notes_ia,translation_id,notes_id,translation_ig,notes_ig,translation_it,notes_it,translation_ja,notes_ja,translation_jv,notes_jv,translation_ka,notes_ka,translation_ko,notes_ko,translation_krl,notes_krl,translation_la,notes_la,translation_lt,notes_lt,translation_mr,notes_mr,translation_ms,notes_ms,translation_nb,notes_nb,translation_nds,notes_nds,translation_nl,notes_nl,translation_nn,notes_nn,translation_oc,notes_oc,translation_pl,notes_pl,translation_pt,notes_pt,translation_pt_br,notes_pt_br,translation_ro,notes_ro,translation_ru,notes_ru,translation_rw,notes_rw,translation_si,notes_si,translation_sk,notes_sk,translation_sl,notes_sl,translation_sr,notes_sr,translation_sr_rs,notes_sr_rs,translation_sv,notes_sv,translation_tr,notes_tr,translation_uk,notes_uk,translation_vi,notes_vi,translation_zh_cn,notes_zh_cn,translation_zh_tw,notes_zh_tw
Chief Miner,noun,Worker - Barbarians,false,,,,,Началник миньор,,Penn mengleuzier,,Miner en Cap,,vrchní horník,,Ledende minearbejder,,Steiger,,Αρχιμεταλλωρύχος,,,,,,,,,,Jefe de Mina,Trabajador - Bárbaros,,,,,,,,,Chef mineur,,,,,,àrd-mhèinnear,"fir. gin. -eir, iol. -an",,,,,,,,,Képzett bányász,,,,,,,,Capo minatore,,鉱夫長,,,,,,숙련된 광부,,,,fossor metallicus expertior,,Vyriausiasis kalnakasys,,,,,,,,Künniger Bargwarkskeerl,,Hoofdmijnwerker,,,,,,Sztygar,,mineiro chefe,,Mineiro-chefe,,,,Главный шахтер,,,,,,hlavný baník,,,,,,,,Gruvledare,,,,Головний шахтар,,,,矿长,,,
Chieftain,noun,Scenario term. Tribal leader of the Barbarians and the Frisians,false,,,,,Вожд,,,,Cap del Clan,,náčelník,"náčelníka | kmenový vůdce | kmenového vůdce | u Frísanů pouze jako ""kmenový vůdce""",Kaptajn,,Häuptling,Stammesfürst |,Φύλαρχος,,,,,,,,,,Caudillo,Término de escenario. Líder tribal de los Bárbaros,,,,,,,Päällikkö,,Chef de tribu,,,,,,ceannard,cheannard | ceannaird | cheannaird | ceannardan | cheannardan,,,,,,,,,Törzsfőnök,,,,,,,,Capoclan,,,,,,,,,,,,,,,,,,,,,,Anföhrer,,Stamhoofd,,,,,,Wódz,,Grande-chefe,,Cacique,,,,Вождь,,,,,,náčelník,,,,,,,,Hövding,,,,,,,,部族首领,,,
Chisel,noun,Ware - Tool - Amazons,false,,,,,,,,,Cisell,,dláto,,,,Meißel,,,,,,,,,,,,Cincel,,,,,,,,,,Ciseaux,,,,,,sgeilb,,,,,,,,,,Véső,,,,,,,,Scalpello,,,,,,,,끌,,,,,,,,,,,,,,Beitel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mejsel,,,,,,,,凿刀,,,
Chocolate,noun,Ware - Amazons,false,,,,,,,,,Xocolata,,čokoláda,,,,Schokolade,,,,,,,,,,,,Chocolate,,,,,,,,,,Chocolat,,,,,,seòclaid,,,,,,,,,,Csokoládé,,,,,,,,Cioccolato,,,,,,,,초콜릿,,,,,,,,,,,,,,Schokolaa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choklad,,,,,,,,巧克力,,,
Chocolate Brewery,noun,Production Building - Amazons,false,,,,,,,,,Fermentadora de xocolata,,čokoládová varna,,,,Schokoladenbrauerei,,,,,,,,,,,,Fábrica de Chocolate,,,,,,,,,,Brasserie de chocolat,,,,,,taigh na seòclaide,,,,,,,,,,Csokoládé főzde,,,,,,,,Fabbrica di cioccolato,,,,,,,,초콜릿 양조장,,,,,,,,,,,,,,Schokolaa-Broeree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chokladbryggeri,,,,,,,,巧克力酿酒厂,,,
Cirrus tree,noun,Fictitious tree,false,,,,,Пересто дърво,,,,Cirrus,,Oblakový strom,smyšlený strom,Krøltræ,,Rankenbaum,,Ελικόδεντρο,,,,,,,,,,,What is this? Maybe a typo (Citrus)??,,,,,,,,,Sapin,,,,,,,,,,,,,,,,Paszuly,,,,,,,,Albero del cirro,,サーラス,架空の木らしい,,,,,,,,,,,,,,,,,,,Rankenboom,,,,,,,,,,,,,,,,скрутка,,,,,,,,,,,,,,Pelarkaktus,,,,,,,,卷须树,按植物学Cirrus意译,,
Citadel,noun,Military Building - Barbarians,false,,,,,Цитадела,,,,Ciutadella,,Tvrz,,Kastel,,Zitadelle,,Ακρόπολη,,,,,,,,,,Ciudadela,,,,,,,,Kastelli,,Citadelle,,,,,,cathair,chathair | cathrach | cathraichean | chathraichean,,,,,,,,,Fellegvár,,,,,,,,Cittadella,,城塞,,,,,,,,,,,,Citadelė,,,,,,Festning,"(Simply use ""Citadel"" instead?)",Kasteel,,Citadel,,,,,,Cytadela,,cidadela,,Cidadela,,,,Цитадель,,,,,,citadela,,,,,,,,Citadell,,,,Цитадель,,,,堡垒,,,
Citadel of Adlen,pronoun,,false,,,,,,,,,Ciutadella d’Adlen,,,,,,Zitadelle von Adlen,,,,,,,,,,,,,,,,,,,,,,Citadelle d'Adlen,,,,,,,,,,,,,,,,Adlen vára,,,,,,,,Cittadella di Adlen,,,,,,,,아들렌 성채,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adlens citadell,,,,,,,,阿德勒堡垒,,,
Claus Lembeck,,Character - Frisians,false,,,,,,,,,,,Nils Zemmek,,,,,,,,,,,,,,,,,,,,,,,,,,Claus Lembeck,,,,,,,,,,,,,,,,Claus Lembeck,,,,,,,,Claus Lembeck,,,,,,,,,,,,,,,,,,,,,,Claus Lembeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claus Lembeck,,,,,,,,,,,
Clay,noun,Ware - Frisians,false,,,,,,,,,Argila,,cihlářská hlína,,Ler,,Lehm,,Πηλός,,,,,,,,,,Arcilla,,,,,,,,Savi,,Argile,,,,,,criadh,chriadh | criadha,,,,,,,,,Agyag,,,,,,,,Argilla,,粘土,,,,,,찰흙,진흙은 무른흙이고 찰흙은 점토인데 점토는 한자어라 순 우리말인 찰흙을 썼음,,,,,Molis,,,,,,,,Lehm,,Klei,,,,,,Glina,,argila,,,,,,Глина,,,,,,,,,,,,,,Lera,,,,,,,,黏土,,,
Clay Digger,,,false,,,,,,,,,Excavador d’argila,,kopáč hlíny,,Lerarbejder,,Lehmgräber,,Σκαπανέας Πηλού,,,,,,,,,,excavador de arcilla,,,,,,,,Savenkaivaja,,Creuseur d'argile,,,,,,digear-criadha,,,,,,,,,,Vályogvető,,,,,,,,Scavatore di argilla,,,,,,,,찰흙 파는 이,,,,,,Molio kasėjas,,,,,,,,Lehmgraver,,Kleigraver,,,,,,Kopacz gliny,,barreiro,,,,,,,,,,,,,,,,,,,,Lergrävare,,,,,,,,挖泥工,,,
Clay Pit,noun,Production Building - Frisians,false,,,,,,,,,Fossa de fang,,hliniště,https://cs.wikipedia.org/wiki/Hlini%C5%A1t%C4%9B,Lergrube,,Lehmgrube,,Λάκκος Πηλού,,,,,,,,,,Pozo de arcilla / barreda,"""Barreda"" is certainly correct, but obsolete.",,,,,,,Savikaivanto,,Argilière,,,,,,sùil-chriadha,shùil-chriadha | sùla-criadha | sùilean-criadha | shùilean-criadha,,,,,,,,,Agyagverem,,,,,,,,Cava di argilla,,穴掘り小屋,,,,,,찰흙 구덩이,,,,,,Molio karjeras,,,,,,,,Lehmkuhl,,Kleiput,,,,,,Kopalnia gliny,,poço de argila,,,,,,Глиняный карьер,,,,,,,,,,,,,,Lergrop,,,,,,,,黏土井,,,
Client,noun,GUI - Networking,false,,,,,Клиент,,,,Client,,klient,uživatel |,Klient,,Client,,Πελάτης,,,,,,,,,,Cliente,,,,,,,,,,Client,,,,,,cliant,chliant | cliantan | chliantan,,,,,,,,,Ügyfél,,,,,,,,Client,,クライアント,,,,,,,,,,cliens,,,,,,,,Klient,,Gast,,cliënt,,,,,,Klient,,cliente,,Cliente,,,,Клиент,,,,,,klient,,,,,,,,Klient,,,,,,,,客户端,,,
Cloth,noun,"Ware - Barbarians, Empire, Frisians",false,,,,,Плат,,Gwiad,,Tela,,látka,,Klæde,,Stoff,,Ύφασμα,,,,,,,,,,Tela,,,,,,,,Kangas,,Tissu,,,,,,clò,chlò | clòtha | chlòtha | clòthan | chlòthan,,,,,,,,,Szövet,,,,,,,,Tessuto,,布,,,,,,,,,,textum,,Audinys,,,,,,,,Stoff,,Doek,"stdh: This sounds very unsophisticated to me.  I'd propose ""laken"" but that sounds rather medieval.",,,,,Tkanina,,tecido,,Tecido,,,,Сукно,,,,,,látka,,,,,,,,Tyg,,,,,,,,布料,,衣服,
Coal,noun,"Ware - Atlanteans, Barbarians, Empire, Frisians",false,,,,,Въглища,,Glaou,,Carbó,,uhlí,,Kul,,Kohle,,Άνθρακας,,,,,,,,,,Carbón,,,,,,,,Hiili,,Charbon,,,,,,gual,guail | ghual | ghuail,,,,,,,,,Szén,,,,,,,,Carbon fossile,,石炭,,,,,,석탄,,,,"carbo, nis",,Anglis,,,,,,Kull,,Köhl,Köhle|Köhl,Kolen,,,,,,Węgiel,,carvão,,Carvão,,,,Уголь,,,,,,uhlie,,,,,,,,Kol,,,,Вугілля,,,,煤,,,
Coal Mine,noun,"Production Building - Atlanteans, Barbarians, Empire, Frisians",false,,,,,Мина за въглища,,Mengleuz glaou,,Mina de Carbó,,Důl na uhlí,,Kulmine,,Kohlemine,,Ανθρακωρυχείο,,,,,,,,,,Mina de Carbón,,,,,,,,Hiilikaivos,,Mine de Charbon,,,,,,mèinn guail,mhèinn guail | mèinne guail | mèinnean guail | mhèinnean guail,,,,,,,,,Szénbánya,,,,,,,,Miniera di carbone,,炭鉱,,,,,,탄광,딱히 대체할 만한 좋은 단어가 없어서 'XX 광산'이라고 하는 경우 말고는 있는 단어 쓰도록 하죠?,,,metallum carbonis,,Anglies kasykla,,,,,,Kullgruve,,Köhle-Bargwark,,Steenkoolmijn,"formerly: ""Kolenmijn""",,,,,Kopalnia węgla,,mina de carvão,,Mina de Carvão,,,,Угольная шахта,,,,,,uhoľná baňa,,,,,,,,Kolgruva,,,,Вугільна шахта,,,,煤矿,,,
Cocoa Beans,noun,Ware - Amazons,false,,,,,,,,,Grans de cacau,,kakaové boby,,,,Kakaobohnen,,,,,,,,,,,,Almendras de Cacao,,,,,,,,,,Fèves de cacao,,,,,,còco,,,,,,,,,,Kakaóbab,,,,,,,,Semi di cacao,,,,,,,,코코아 콩,,,,,,,,,,,,,,Kakaobohnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kakaobönor,,,,,,,,可可豆,,,
Cocoa Farm,noun,Production Building - Amazons,false,,,,,,,,,Plantació de cacau,,kakaová farma,,,,Kakaoplantage,,,,,,,,,,,,Granja de Cacao,,,,,,,,,,Ferme de cacaoyer,,,,,,tuathanas còco,,,,,,,,,,Kakaó ültetvény,,,,,,,,Fattoria di cacao,,,,,,,,,,,,,,,,,,,,,,Kakao-Planteree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kakaoodling,,,,,,,,可可种植场,,,
Cocoa Farmer,noun,Worker - Amazons,false,,,,,,,,,Cultivador de cacau,,pěstitelka kakaa,,,,Kakaopflanzerin,,,,,,,,,,,,Granjera de Cacao,,,,,,,,,,Cueilleur de cacao,,,,,,tuathanach còco,,,,,,,,,,Kakaótermesztő,,,,,,,,Coltivatore di cacao,,,,,,,,,,,,,,,,,,,,,,Kakao-Buurske,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kakaoodlare,,,,,,,,可可种植员,,,
Cocoa Tree,noun,Immovable - Amazons,false,,,,,,,,,Cacau,,kakaovník,,,,Kakaobaum,,,,,,,,,,,,Árbol de Cacao,,,,,,,,,,Cacaoyer,,,,,,craobh-còco,,,,,,,,,,Kakaófa,,,,,,,,Albero di cacao,,,,,,,,코코아 나무,,,,,,,,,,,,,,Kakaoboom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kakaoträd,,,,,,,,可可树,,,
Colionder,noun,Character - Atlantean,false,,,,,Колиондър,,,,Coliondre,,Colionder,,Colionder,,Colionder,,Κόλιοντερ,,,,,,,,,,Colionder,Personaje - Atlantes,,,,,,,,,Colionder,,,,,,Colionder,Cholionder|,,,,,,,,,Colionder,,,,,,,,Colionder,,コリオンデル,,,,,,,,,,,,,,,,,,,,Kojonder,,,,,,,,Colionder,,Colionder,,,,,,Колиондер,Персонаж - Атланты,,,,,Colionder,,,,,,,,Colionder,,,,,,,,克林德尔,角色名音译。,,
Collectors,noun,Game type,false,,,,,Събирачи,,,,Col·leccionistes,,Sběratelé,,,,Sammler,,Συλλέκτες,,,,,,,,,,Coleccionistas,,,,,,,,,,Collecteurs,,,,,,cruinnichean,,,,,,,,,,Gyűjtögetők,,,,,,,,Collezionisti,,コレクター,,,,,,,,,,collectores,,,,,,,,Samlere,,Sammler,,Verzamelaars,,,,,,Zbieracze,,Recoletores,,Recolectores,,,,Коллекционер,,,,,,Zberatelia,,,,,,,,Samlare,,,,,,,,收集者,,,
Colosseum,noun,Training Building - Empire,false,,,,,Колизей,,,,Coliseu,,koloseum,,Amfiteater,,Kolosseum,,Κολοσσαίο,,,,,,,,,,Coliseo,,,,,,,,Colosseumi,,Colisée,,,,,,coileasam,"fir. gin. -aim, iol. -an",,,,,,,,,Kolosszeum,,,,,,,,Colosseo,,コロシアム,(元: コロッセオ),,,,,,,,,colosseum,,Koliziejus,,,,,,Colosseum,,Groter Ring,,Colosseum,,,,,,Koloseum,,coliseu,,Coliseu,,,,Колизей,,,,,,,,,,,,,,Colosseum,,,,,,,,角斗场,,,
Comments,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commentaires,,,,,,,,,,,,,,,,Megjegyzések,,,,,,,,Commenti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kommentarer,,,,,,,,,,,
Configure economy,noun,GUI,false,,,,,,,,,Configura l’economia,,Nastavení hospodářství,"""economy options"", ""economy settings"" for all terms used the same translation",,,Wirtschaftseinstellungen,,Παραμετροποίηση οικονομίας,,,,,,,,,,Configurar economía,,,,,,,,,,Configurer l'économie,,,,,,,,,,,,,,,,Gazdaság beállításai,,,,,,,,Configura l'economia,,経済の設定,,,,,,,,,,,,,,,,,,,,Weertskupp-Instellens,,,,,,,,,,Configurar a economia,,,,,,Настройка экономики,,,,,,,,,,,,,,Ekonomiinställningar,,,,,,,,经济设定,,,
Constructor,noun,used in map descriptions and scenario texts,false,,,,,,,,,Constructor,,,,,,Baumeister,,Οικοδόμος,,,,,,,,,,Constructor,,,,,,,,,,Constructeur,,,,,,,,,,,,,,,,,,,,,,,,Operaio edile,,,,,,,,,,,,,,,,,,,,,,Bauheer,Not sure what is meant here?,,,,,,,,,construtor,,Construtor,,,,Конструктор,,,,,,,,,,,,,,Upphovsman,,,,,,,,建筑师,,,
Cook,noun,Worker - Amazons,false,,,,,,,,,Cuiner,,kuchařka,,,,Köchin,,,,,,,,,,,,Cocinera,,,,,,,,,,Cuisinier,,,,,,còcaire,,,,,,,,,,Szakács,,,,,,,,Cuoca,,,,,,,,,,,,,,,,,,,,,,Kööksch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kock,,,,,,,,炊事员,军旅厨师常常称为炊事员。,,
Corn,noun,Ware - Atlanteans,false,,,,,Царевица,,,,Panís / Panotxa,,kukuřice,,Majs,,Mais,,Καλαμπόκι,,,,,,,,,,Maíz,,,,,,,,,,Maïs,,,,,,coirce,choirce | coircean | choircean,,,,,,,,,Kukorica,,,,,,,,Mais,,トウモロコシ,,,,,,,,,,maizum,,Kukurūzai,,,,,,Mais,,Mais,,Maïs,,,,,,Kukurydza,,milho,,Milho,,,,Кукуруза,,,,,,kukurica,,,,,,,,Majs,,,,,,,,玉米,也叫苞谷。,玉米,
Cornfield,noun,Immovable - Atlanteans,false,,,,,Царевично поле,,,,Panissar,,kukuřičné pole,,Majsmark,,Maisfeld,,Αγρός Καλαμποκιού,,,,,,,,,,Maizal,,,,,,,,,,Champ de maïs,,,,,,achadh coirce,"fir. gin. -aidh, iol. -aidhean",,,,,,,,,Kukoricatábla,,,,,,,,Campo di mais,,トウモロコシ畑,,,,,,,,,,,,Kukurūzų laukas,,,,,,,,Maisacker,,Maïsveld,,,,,,Pole kukurydzy,,milheiral,,,,,,Кукурузное поле,,,,,,kukuričné pole,,,,,,,,Majsfält,,,,,,,,玉米地,,,
Cornfield (harvested),noun,Immovable - Atlanteans,false,,,,,Царевично поле (обрано),,,,Panissar (collit),,kukuřičné pole (sklizené),,Majsmark (høstet),,Maisfeld (abgeerntet),,Αγρός Καλαμποκιού (θερισμένος),,,,,,,,,,Maizal (cosechado),,,,,,,,,,Champ de maïs (récolté),,,,,,achadh coirce (air a bhuain),"fir. gin. -aidh, iol. -aidhean",,,,,,,,,Kukoricatábla (betakarított),,,,,,,,Campo di mais (mietuto),,トウモロコシ畑(収穫済),,,,,,,,,,,,Kukurūzų laukas (nuimtas),,,,,,,,Maisacker (arnt),,Korenveld (geoogst),,,,,,Zebrane pole kukurydzy,,milheiral colhido,,,,,,Кукурузное поле (скошенное),,,,,,kukuričné pole (pozberané),,,,,,,,Majsfält (skördat),,,,,,,,玉米地(收割),,,
Cornmeal,noun,Ware - Atlanteans. Replaces Cornflour.,false,,,,,Царевично брашно,,,,Farina de Panís,,Kukuřičná mouka,,Majsmel,,Maismehl,,Καλαμποκάλευρο,,,,,,,,,,Harina de Maíz,,,,,,,,Maissijauho,,Semoule de maïs,,,,,,min-choirce,mhin-choirce | mine-coirce,,,,,,,,,Kukoricaliszt,,,,,,,,Farina di mais,,コーンミール,,,,,,,,,,,,Kukurūzų miltai,,,,,,,,Maismehl,,Maïsmeel,,,,,,Kasza kukurydziana,,farinha de milho,,,,,,Кукурузная мука,,,,,,kukuričná múka,,,,,,,,Majsmjöl,,,,,,,,玉米面粉,,,
Crystal Mine,noun,Production Building - Atlanteans,false,,,,,Кристална мина,,,,Mina de Pedres Precioses,,Důl na křišťál,,Krystalmine,,Kristallmine,,Ορυχείο Κρυστάλλων,,,,,,,,,,Mina de Cristal,,,,,,,,,,Mine de Cristal,,,,,,mèinn criostail,mhèinn criostail | mèinne criostail | mèinnean criostail | mhèinnean criostail,,,,,,,,,Kristálybánya,,,,,,,,Miniera di cristallo,,水晶鉱,(元: 水晶鉱山),,,,,수정 광산,,,,,,Kristalų kasykla,,,,,,Krystallgruve,,Edelflint-Bargwark,,Kristalmijn,,,,,,Kopalnia kryształów,,mina de cristal,,Mina de Cristal,,,,Кристальная шахта,,,,,,kryštálová baňa,,,,,,,,Kristallgruva,,,,,,,,晶体矿,,,
Curved Sword,,DEPRECATED - do not use. Ware - Weapon - Frisians,false,,,,,,,,,Espasa corbada,,,,Buet sværd,,gebogenes Schwert,,Κυρτό Ξίφος,,,,,,,,,,,,,,,,,,,,Sabre courbé,,,,,,claidheamh-crom,,,,,,,,,,,,,,,,,,Spada curva,,曲剣,,,,,,,,,,,,,,,,,,,,Krummsweert,,Kromzwaard,,,,,,,,katana,,,,,,Сабля,Исторически не достоверный перевод,,,,,,,,,,,,,,,,,,,,,弯刀,,,
Dark Mushroom Tree,noun,,false,,,,,Тъмно гъбено дърво,,,,Arbre xampinyó fosc,,stromová černá houba,,,,Dunkler Pilzbaum,,Σκούρο Μανιταρόδεντρο,,,,,,,,,,,,,,,,,,,,Arbre champignon obscur,,,,,,,,,,,,,,,,Sötét gombafa,,,,,,,,Albero a fungo scuro,,クロカサ,(架空)キノコっぽい木,,,,,,,,,,,,,,,,,,,Dunker Paddstohlboom,,Donkere Paddenstoelboom,,,,,,,,,,,,,,Черный баобаб,,,,,,,,,,,,,,Mörkt svampträd,,,,,,,,黑蘑菇树,,,
Dead Tree,noun,Immovable - Amazons,false,,,,,,,,,Arbre mort,,suchý strom,,,,Toter Baum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Halott fa,"lehet, hogy lehetne szebbet is...",,,,,,,Albero secco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dött träd,,,,,,,,枯树,,,
Debris,noun,Immovable,false,,,,,Отломки,,,,Runa,,Sutiny,"podle souvislosti také ""pozůstatky""",,,Trümmer,,Μπάζα,,,,,,,,,,Escombros,,,,,,,,,,Débris,,,,,,,,,,,,,,,,Törmelék,,,,,,,,Detriti,,瓦礫,,,,,,,,,,,,,,,,,,,,Schutt,,Puin,,,,,,,,escombros,,,,,,Развалины,,,,,,trosky,,,,,,,,Skräp,,,,,,,,残骸,,,
Deep Coal Mine,noun,"Production Building - Barbarians, Empire, Frisians",false,,,,,Дълбока мина за въглища,,Mengleuz glaou don,,Mina de Carbó Profunda,,hlubinný důl na uhlí,,Dyb kulmine,,Tiefe Kohlemine,,Βαθύ Ανθρακωρυχείο,,,,,,,,,,Mina de Carbón Profunda,"Edificio de producción - Bárbaros, Imperio",,,,,,,Keskisyvä hiilikaivos,,Mine de charbon profonde,,,,,,mèinn guail dhomhain,mhèinn guail dhomhain | mèinne guail domhain | mèinnean guail domhain | mhèinnean guail domhain,,,,,,,,,Mély szénbánya,,,,,,,,Miniera di carbone profonda,,深炭鉱,,,,,,깊은 탄광,,,,,,Gili anglies kasykla,,,,,,,,Deeps Köhle-Bargwark,,Diepe Steenkoolmijn,"formerly: ""Diepe Kolenmijn""",,,,,Głęboka kopalnia węgla,,mina de carvão funda,,,,,,Глубокая угольная шахта,,,,,,hlbinná uhoľná baňa,,,,,,,,Djup kolgruva,,,,,,,,井下煤矿,,,
Deep Gold Mine,noun,"Production Building - Barbarians, Empire, Frisians",false,,,,,Дълбока златна мина,,Mengleuz aour don,,Mina d’Or Profunda,,hlubinný důl na zlato,,Dyb guldmine,,Tiefe Goldmine,,Βαθύ Χρυσωρυχείο,,,,,,,,,,Mina de Oro Profunda,"Edificio de producción - Bárbaros, Imperio",,,,,,,Keskisyvä kultakaivos,,Mine d'Or profonde,,,,,,mèinn òir dhomhain,mhèinn òir dhomhain | mèinne òir domhain | mèinnean òir domhain | mhèinnean òir domhain,,,,,,,,,Mélyebb aranybánya,,,,,,,,Miniera d'oro profonda,,深金鉱,,,,,,깊은 금광,,,,altum metallum auri,,Gili aukso kasykla,,,,,,Dyp Gullgruve,,Deeps Gold-Bargwark,,Diepe Goudmijn,,,,,,Głęboka kopalnia złota,,mina de ouro funda,,Mina de Ouro profunda,,,,Глубокая золотая шахта,,,,,,hlbinná zlatá baňa,,,,,,,,Djup guldgruva,,,,,,,,井下金矿,,,
Deep Iron Mine,noun,"Production Building - Barbarians, Empire, Frisians",false,,,,,Дълбока мина за желязо,,Mengleuz houarn don,,Mina de Ferro Profunda,,hlubinný důl na železo,hlubinný železorudný důl |,Dyb jernmine,,Tiefe Eisenerzmine,,Βαθύ Ορυχείο Σιδήρου,,,,,,,,,,Mina de Hierro Profunda,"Edificio de producción - Bárbaros, Imperio",,,,,,,Keskisyvä rautakaivos,,Mine de fer profonde,,,,,,mèinn iarainn dhomhain,mhèinn iarainn dhomhain | mèinne iarainn domhain | mèinnean iarainn domhain | mhèinnean iarainn domhain,,,,,,,,,Mélyebb vasércbánya,,,,,,,,Miniera di ferro profonda,,深鉄鉱,(謎コメント: 鉱山深層),,,,,깊은 철광,,,,,,Gili geležies kasykla,,,,,,Jerngruve,,Deeps Iesen-Bargwark,,Diepe IJzermijn,,,,,,Głęboka kopalnia żelaza,,mina de ferro funda,,,,,,Глубокий железный рудник,,,,,,hlbinná železnorudná baňa,,,,,,,,Djup järngruva,,,,,,,,井下铁矿,,,
Deep Marble Mine,noun,Production Building - Empire,false,,,,,Дълбока мина за мрамор,,,,Mina de Marbre Profunda,,hlubinný důl na mramor,,Dyb marmormine,,Tiefe Marmormine,,Βαθύ Ορυχείο Μαρμάρου,,,,,,,,,,Mina de Mármol Profunda,Edificio de producción - Imperio,,,,,,,Keskisyvä marmorikaivos,,Mine de marbre profonde,,,,,,mèinn marmoir dhomhain,mhèinn marmoir dhomhain | mèinne marmoir domhain | mèinnean marmoir domhain | mhèinnean marmoir domhain,,,,,,,,,Mély márványbánya,,,,,,,,Miniera di marmo profonda,,深大理石鉱,,,,,,깊은 대리석 광산,,,,,,Gili marmuro kasykla,,,,,,,,Deeps Marmel-Bargwark,,Diepe Marmermijn,,,,,,Głęboka kopalnia marmuru,,mina de mármore funda,,,,,,Глубокая мраморная шахта,,,,,,hlbinná mramorová baňa,,,,,,,,Djup marmorgruva,,,,,,,,井下大理石矿,,,
Deep Mine,noun,Building category,false,,,,,Дълбока мина,,Mengleuz don,,Mina Profunda,,hlubinný důl,,Dyb mine,,Tiefe Mine,,Βαθύ Ορυχείο,,,,,,,,,,Mina Profunda,Categoría de Edificios,,,,,,,Keskisyvä kaivos,,Mine profonde,,,,,,,,,,,,,,,,Mély bánya,,,,,,,,Miniera profonda,,深鉱,,,,,,깊은 광산,,,,,,Gili kasykla,,,,,,,,Deeps Bargwark,,Diepe Mijn,,,,,,Głęboka kopalnia,,mina de ... funda,,,,,,Глубокая шахта,,,,,,hlbinná baňa,,,,,,,,Djup gruva,,,,,,,,井下矿,,,
Deep Rock Mine,noun,Production Building - Frisians,false,,,,,,,Mengleuz maen don,,Mina de roques profunda,,hlubinný důl na kámen,,Dyb stenmine,,Tiefe Felsmine,,Βαθύ Ορυχείο Βράχων,,,,,,,,,,,,,,,,,,Keskisyvä kivikaivos,,Mine de Roche profonde,,,,,,mèinn cloiche dhomhain,mhèinn cloiche dhomhain|,,,,,,,,,Mély kőbánya,,,,,,,,Miniera di pietre profonda,,深岩石鉱,,,,,,깊은 석재 광산,,,,,,Gili akmens kasykla,,,,,,,,Deeps Stenen-Bargwark,,Diepe Steenmijn,,,,,,Głęboka kopalnia kamienia,,,,,,,,Глубокая каменоломня,,,,,,,,,,,,,,Djup stengruva,,,,,,,,井下岩石矿,,,
Deeper Coal Mine,noun,Production Building - Barbarians,false,,,,,По-дълбока мина за въглища,,,,Mina de Carbó Molt Profunda,,hlubší důl na uhlí,,Dybere kulmine,,Tiefste Kohlemine,,Βαθύτερο Ανθρακωρυχείο,,,,,,,,,,Mina de Carbón Extrema,"Edificio de producción - Bárbaros, Imperio",,,,,,,Syvä hiilikaivos,,Mine de charbon très profonde,,,,,,mèinn guail as doimhne,mhèinn guail as doimhne | mèinne guail as doimhne | mèinnean guail as doimhne | mhèinnean guail as doimhne,,,,,,,,,Mélyebb szénbánya,,,,,,,,Miniera di carbone molto profonda,,深遠炭鉱,,,,,,더 깊은 탄광,,,,,,Gilesnė anglies kasykla,,,,,,,,Bannig deeps Köhle-Bargwark,,Diepere Steenkoolmijn,"formerly: ""Diepere Kolenmijn""",,,,,Głębsza kopalnia węgla,,mina de carvão profunda,,,,,,Глубинная угольная шахта,,,,,,hlbočizná uhoľná baňa,,,,,,,,Djupare kolgruva,,,,,,,,深井煤矿,,,
