term,pos,comment,translation_ar,comment_ar,translation_ast,comment_ast,translation_bg,comment_bg,translation_br,comment_br,translation_ca,comment_ca,translation_cs,comment_cs,translation_da,comment_da,translation_de,comment_de,translation_el,comment_el,translation_en_CA,comment_en_CA,translation_en_GB,comment_en_GB,translation_en_US,comment_en_US,translation_eo,comment_eo,translation_es,comment_es,translation_et,comment_et,translation_eu,comment_eu,translation_fa,comment_fa,translation_fi,comment_fi,translation_fr,comment_fr,translation_fy,comment_fy,translation_ga,comment_ga,translation_gd,comment_gd,translation_gl,comment_gl,translation_he,comment_he,translation_hi,comment_hi,translation_hr,comment_hr,translation_hu,comment_hu,translation_ia,comment_ia,translation_id,comment_id,translation_ig,comment_ig,translation_it,comment_it,translation_ja,comment_ja,translation_jv,comment_jv,translation_ka,comment_ka,translation_ko,comment_ko,translation_krl,comment_krl,translation_la,comment_la,translation_lt,comment_lt,translation_mr,comment_mr,translation_ms,comment_ms,translation_my,comment_my,translation_nb,comment_nb,translation_nds,comment_nds,translation_nl,comment_nl,translation_nn,comment_nn,translation_oc,comment_oc,translation_pl,comment_pl,translation_pt,comment_pt,translation_pt_BR,comment_pt_BR,translation_ro,comment_ro,translation_ru,comment_ru,translation_rw,comment_rw,translation_si,comment_si,translation_sk,comment_sk,translation_sl,comment_sl,translation_sr,comment_sr,translation_sv,comment_sv,translation_tr,comment_tr,translation_uk,comment_uk,translation_vi,comment_vi,translation_zh_CN,comment_zh_CN,translation_zh_TW,comment_zh_TW
Crystal Mine,Noun,Production Building - Atlanteans,,,,,Кристална мина,,,,Mina de Pedres Precioses,,Důl na křišťál,,Krystalmine,,Kristallmine,,Ορυχείο Κρυστάλλων,,,,,,,,,,Mina de Cristal,,,,,,,,,,Mine de Cristal,,,,,,mèinn criostail,mhèinn criostail | mèinne criostail | mèinnean criostail | mhèinnean criostail,,,,,,,,,Kristálybánya,,,,,,,,Miniera di cristallo,,水晶鉱,(元: 水晶鉱山),,,,,,,,,,,,,,,,,,,Krystallgruve,,Edelflint-Bargwark,,Kristalmijn,,,,,,Kopalnia kryształów,,mina de cristal,,Mina de Cristal,,,,Кристальная шахта,,,,,,kryštálová baňa,,,,,,Kristallgruva,,,,,,,,,,,
Curved Sword,,DEPRECATED - do not use. Ware - Weapon - Frisians,,,,,,,,,Espasa corbada,,,,,,gebogenes Schwert,,Κυρτό Ξίφος,,,,,,,,,,,,,,,,,,,,,,,,,,claidheamh-crom,,,,,,,,,,,,,,,,,,,,曲剣,,,,,,,,,,,,,,,,,,,,,,Krummsweert,,,,,,,,,,,,,,,,Сабля,Исторически не достоверный перевод,,,,,,,,,,,,,,,,,,,,,,
Dark Mushroom Tree,Noun,,,,,,Тъмно гъбено дърво,,,,Arbre xampinyó fosc,,,,,,Dunkler Pilzbaum,,Σκούρο Μανιταρόδεντρο,,,,,,,,,,,,,,,,,,,,Arbre champignon obscur,,,,,,,,,,,,,,,,Sötét gombafa,,,,,,,,,,クロカサ,(架空)キノコっぽい木,,,,,,,,,,,,,,,,,,,,,Dunker Paddstohlboom,,,,,,,,,,,,,,,,Черный баобаб,,,,,,,,,,,,Mörkt svampträd,,,,,,,,,,,
Debris,Noun,Immovable,,,,,Отломки,,,,Runa,,,,,,Trümmer,,Μπάζα,,,,,,,,,,Escombros,,,,,,,,,,Débris,,,,,,,,,,,,,,,,Törmelék,,,,,,,,Detriti,,瓦礫,,,,,,,,,,,,,,,,,,,,,,Schutt,,Puin,,,,,,,,escombros,,,,,,Развалины,,,,,,trosky,,,,,,Skräp,,,,,,,,,,,
Deep Coal Mine,Noun,"Production Building - Barbarians, Empire, Frisians",,,,,Дълбока мина за въглища,,,,Mina de Carbó Profunda,,hlubinný důl na uhlí,,Dyb kulmine,,Tiefe Kohlemine,,Βαθύ Ανθρακωρυχείο,,,,,,,,,,Mina de Carbón Profunda,"Edificio de producción - Bárbaros, Imperio",,,,,,,,,Mine de charbon profonde,,,,,,mèinn guail dhomhain,mhèinn guail dhomhain | mèinne guail domhain | mèinnean guail domhain | mhèinnean guail domhain,,,,,,,,,Mély szénbánya,,,,,,,,Miniera di carbone profonda,,深炭鉱,,,,,,,,,,,,,,,,,,,,,,Deeps Köhle-Bargwark,,Diepe Steenkoolmijn,"formerly: ""Diepe Kolenmijn""",,,,,Głęboka kopalnia węgla,,mina de carvão funda,,,,,,Глубокая угольная шахта,,,,,,hlbinná uhoľná baňa,,,,,,Djup kolgruva,,,,,,,,,,,
Deep Gold Mine,Noun,"Production Building - Barbarians, Empire, Frisians",,,,,Дълбока златна мина,,,,Mina d'Or Profunda,,hlubinný důl na zlato,,Dyb guldmine,,Tiefe Goldmine,,Βαθύ Χρυσωρυχείο,,,,,,,,,,Mina de Oro Profunda,"Edificio de producción - Bárbaros, Imperio",,,,,,,,,Mine d'Or profonde,,,,,,mèinn òir dhomhain,mhèinn òir dhomhain | mèinne òir domhain | mèinnean òir domhain | mhèinnean òir domhain,,,,,,,,,Mélyebb aranybánya,,,,,,,,Miniera d'oro profonda,,深金鉱,,,,,,,,,,altum metallum auri,,,,,,,,,,Dyp Gullgruve,,Deeps Gold-Bargwark,,Diepe Goudmijn,,,,,,Głęboka kopalnia złota,,mina de ouro funda,,Mina de Ouro profunda,,,,Глубокая золотая шахта,,,,,,hlbinná zlatá baňa,,,,,,Djup guldgruva,,,,,,,,,,,
Deep Iron Mine,Noun,"Production Building - Barbarians, Empire, Frisians",,,,,Дълбока мина за желязо,,,,Mina de Ferro Profunda,,hlubinný důl na železo,,Dyb jernmine,,Tiefe Eisenerzmine,,Βαθύ Ορυχείο Σιδήρου,,,,,,,,,,Mina de Hierro Profunda,"Edificio de producción - Bárbaros, Imperio",,,,,,,,,Mine de Fer profonde,,,,,,mèinn iarainn dhomhain,mhèinn iarainn dhomhain | mèinne iarainn domhain | mèinnean iarainn domhain | mhèinnean iarainn domhain,,,,,,,,,Mélyebb vasércbánya,,,,,,,,Miniera di ferro profonda,,深鉄鉱,(謎コメント: 鉱山深層),,,,,,,,,,,,,,,,,,,Jerngruve,,Deeps Iesen-Bargwark,,Diepe IJzermijn,,,,,,Głęboka kopalnia żelaza,,mina de ferro funda,,,,,,Глубокий железный рудник,,,,,,hlbinná železnorudná baňa,,,,,,Djup järngruva,,,,,,,,,,,
Deep Marble Mine,Noun,Production Building - Empire,,,,,Дълбока мина за мрамор,,,,Mina de Marbre Profunda,,hlubinný důl na mramor,,Dyb marmormine,,Tiefe Marmormine,,Βαθύ Ορυχείο Μαρμάρου,,,,,,,,,,Mina de Mármol Profunda,Edificio de producción - Imperio,,,,,,,,,Mine de Marbre profonde,,,,,,mèinn marmoir dhomhain,mhèinn marmoir dhomhain | mèinne marmoir domhain | mèinnean marmoir domhain | mhèinnean marmoir domhain,,,,,,,,,Mély márványbánya,,,,,,,,Miniera di marmo profonda,,深大理石鉱,,,,,,,,,,,,,,,,,,,,,,Deeps Marmel-Bargwark,,Diepe Marmermijn,,,,,,Głęboka kopalnia marmuru,,mina de mármore funda,,,,,,Глубокая мраморная шахта,,,,,,hlbinná mramorová baňa,,,,,,Djup marmorgruva,,,,,,,,,,,
Deep Mine,Noun,Building category,,,,,Дълбока мина,,,,Mina Profunda,,hlubinný důl,,Dyb mine,,Tiefe Mine,,Βαθύ Ορυχείο,,,,,,,,,,Mina Profunda,Categoría de Edificios,,,,,,,,,Mine profonde,,,,,,,,,,,,,,,,Mély bánya,,,,,,,,Miniera profonda,,深鉱,,,,,,,,,,,,,,,,,,,,,,Deeps Bargwark,,Diepe Mijn,,,,,,,,mina de ... funda,,,,,,Глубокая шахта,,,,,,hlbinná baňa,,,,,,Djup gruva,,,,,,,,,,,
Deep Rock Mine,Noun,Production Building - Frisians,,,,,,,,,Mina de roques profunda,,,,,,Tiefe Felsmine,,Βαθύ Ορυχείο Βράχων,,,,,,,,,,,,,,,,,,,,,,,,,,mèinn cloiche dhomhain,,,,,,,,,,,,,,,,,,,,深岩石鉱,,,,,,,,,,,,,,,,,,,,,,Deeps Stenen-Bargwark,,,,,,,,,,,,,,,,Глубокая каменоломня,,,,,,,,,,,,,,,,,,,,,,,
Deeper Coal Mine,Noun,Production Building - Barbarians,,,,,По-дълбока мина за въглища,,,,Mina de Carbó Molt Profunda,,hlubší důl na uhlí,,Dybere kulmine,,Tiefste Kohlemine,,Βαθύτερο Ανθρακωρυχείο,,,,,,,,,,Mina de Carbón Extrema,"Edificio de producción - Bárbaros, Imperio",,,,,,,,,Mine de charbon très profonde,,,,,,mèinn guail as doimhne,mhèinn guail as doimhne | mèinne guail as doimhne | mèinnean guail as doimhne | mhèinnean guail as doimhne,,,,,,,,,Mélyebb szénbánya,,,,,,,,Miniera di carbone molto profonda,,深遠炭鉱,,,,,,,,,,,,,,,,,,,,,,Bannig deeps Köhle-Bargwark,,Diepere Steenkoolmijn,"formerly: ""Diepere Kolenmijn""",,,,,Głębsza kopalnia węgla,,mina de carvão profunda,,,,,,Глубинная угольная шахта,,,,,,hlbočizná uhoľná baňa,,,,,,Djupare kolgruva,,,,,,,,,,,
Deeper Gold Mine,Noun,Production Building - Barbarians,,,,,По-дълбока златна мина,,,,Mina d'Or Molt Profunda,,hlubší důl na zlato,,Dybere guldmine,,Tiefste Goldmine,,Βαθύτερο Χρυσωρυχείο,,,,,,,,,,Mina de Oro Extrema,"Edificio de producción - Bárbaros, Imperio",,,,,,,,,Mine d'Or très profonde,,,,,,mèinn òir as doimhne,mhèinn òir as doimhne | mèinne òir as doimhne | mèinnean òir as doimhne | mhèinnean òir as doimhne,,,,,,,,,Mélyebb aranybánya,,,,,,,,Miniera d'oro molto profonda,,深遠金鉱,,,,,,,,,,altius metallum auri,,,,,,,,,,Dypere Gullgruve,,Bannig deeps Gold-Bargwark,,Diepere Goudmijn,,,,,,Głębsza kopalnia złota,,mina de ouro profunda,,Mina de Ouro muito profunda,,,,Глубинная золотая шахта,,,,,,hlbočizná zlatá baňa,,,,,,Djupare guldgruva,,,,,,,,,,,
Deeper Iron Mine,Noun,"Production Building - Barbarians, Empire, Frisians",,,,,По-дълбока мина за желязо,,,,Mina de Ferro Molt Profunda,,hlubší důl na železo,,Dybere jernmine,,Tiefste Eisenerzmine,,Βαθύτερο Ορυχείο Σιδήρου,,,,,,,,,,Mina de Hierro Extrema,"Edificio de producción - Bárbaros, Imperio",,,,,,,,,Mine de Fer très profonde,,,,,,mèinn iarainn as doimhne,mhèinn iarainn as doimhne | mèinne iarainn as doimhne | mèinnean iarainn as doimhne | mhèinnean iarainn as doimhne,,,,,,,,,Mélyebb vasércbánya,,,,,,,,Miniera di ferro molto profonda,,深遠鉄鉱,(謎コメント: 鉱山最深層),,,,,,,,,,,,,,,,,,,,,Bannig deeps Iesen-Bargwark,,Diepere IJzermijn,,,,,,Głębsza kopalnia żelaza,,mina de ferro profunda,,,,,,Глубинный железный рудник,,,,,,hlbočizná železnorudná baňa,,,,,,Djupare järngruva,,,,,,,,,,,
Deeper Mine,Noun,Building category,,,,,По-дълбока мина,,,,Mina Molt Profunda,,hlubší důl,,Dybere mine,,Tiefste Mine,,Βαθύτερο Ορυχείο,,,,,,,,,,Mina Extrema,Categoría de Edificios,,,,,,,,,Mine très profonde,,,,,,,,,,,,,,,,Mélyebb bánya,,,,,,,,Miniera molto profonda,,深遠鉱,,,,,,,,,,,,,,,,,,,,,,Bannig deeps Bargwark,,Diepere Mijn,,,,,,,,mina de ... profunda,,,,,,Глубинная шахта,,,,,,hlbočizná baňa,,,,,,Djupare gruva,,,,,,,,,,,
Defense,Noun,Soldier property,,,,,Защита,,,,Defensa,,,,Forsvar,,Verteidigung,,Άμυνα,,,,,,,,,,Defensa,Propiedad de soldados,,,,,,,,,Défense,,,,,,dìon,dhìon | dìona | dhìona | dìonan | dhìonan,,,,,,,,,Védelem,,,,,,,,Difesa,,防御,,,,,,,,,,defensio,,,,,,,,,,Forsvar,,Verteidigung,,Verdediging,,,,,,Obrona,,defesa,,Defesa,,,,Защита,,,,,,obrana,,,,,,Försvar,,,,Захист,,,,,,,
Desert Hackberry,Noun,Immovable - Frisians,,,,,,,,,,,,,,,Wüstenzürgelbaum,,Κακτομουριά,,,,,,,,,,,,,,,,,,,,,,,,,,preas dhearcan-fhàsaich,,,,,,,,,,,,,,,,,,,,デザートハックベリー,,,,,,,,,,,,,,,,,,,,,,Wüüstenbeei,"Pl: Wüüstenbejen.
Anyone who knows the real translation, please replace.",,,,,,,,,Alfarrobeiras do Deserto,,,,,,Каркас,Плод (ягода) дерева каркас,,,,,,,,,,,,,,,,,,,,,,
Destroyed Building,Noun,Immovable - all tribes,,,,,,,,,,,,,,,Zerstörtes Gebäude,,Κατεστραμμένο Κτίριο,,,,,,,,,,,,,,,,,,,,,,,,,,togalach air a mhilleadh,thogalach air a mhilleadh | togalaichean air am milleadh,,,,,,,,,,,,,,,,,,,破壊された建物,,,,,,,,,,,,,,,,,,,,,,Verneelts Huus,,,,,,,,,,,,,,,,Разрушенное здание,,,,,,,,,,,,,,,,,,,,,,,
Diamond,Noun,Ware - Atlanteans,,,,,Диамант,,,,Diamant,,diamant,,Diamant,,Diamant,,Διαμάντι,,,,,,,,,,Diamante,,,,,,,,,,Diamant,,,,,,daoimean,"fir. gin. -ein, iol. -an",,,,,,,,,Gyémánt,,,,,,,,Diamante,,ダイヤモンド,,,,,,,,,,,,,,,,,,,,Diamant,,Edelsteen,,Diamant,,,,,,Diament,,diamante,,Diamante,,,,Алмаз,,,,,,diamant,,,,,,Diamant,,,,,,,,,,,
Dock,Noun,Currently not used in the UI - Where wares and workers are waiting in the port before they are shipped.,,,,,Кей,,,,Dàrsena,,,,Dok,,Dock,,Προβλήτα,,,,,,,,,,Muelle,Donde las mercancías y los trabajadores del puerto esperan antes de ser enviadas.,,,,,,,,,quai,,,,,,cala,"fir. gin. -laidh, iol. -lachan",,,,,,,,,Kikötő,,,,,,,,molo,,,,,,,,,,,,,,,,,,,,,,Ports have a Dock to start an Expedition,,Kai,,,,,,,,dok,,doca,,,,,,Док,,,,,,,,,,,,Hamn,,,,,,,,,,,
Donkey,Noun,Worker - Carrier - Empire,,,,,Магаре,,,,Ase,,osel,,Æsel,,Esel,,Όνος,,,,,,,,,,Asno,,,,,,,,,,Âne,,,,,,asal,"fir. gin. -ail, iol. -an",,,,,,,,,Szamár,,,,,,,,Asino,,ロバ,,,,,,,,,,asinus,,,,,,,,,,Esel,,Langohr,"Not a joke – ""Long-ear"" really is a Platt word for Donkey",Ezel,,,,,,Osioł,,burro,,Jumento,,,,Осёл,,,,,,osol,,,,,,Åsna,,,,Осел,,,,,,,
Donkey Breeder,Noun,Worker - Empire,,,,,Магаревъд,,,,Criador d'ases,,chovatel oslů,,Æselavler,,Eselzüchter,,Εκτροφέας Όνων,,,,,,,,,,Criador de Asnos,,,,,,,,,,Éleveur d'ânes,,,,,,gille-stàbaill,fir. iol. -an-stàbaill,,,,,,,,,Szamártenyésztő,,,,,,,,Allevatore di asini,,ロバ飼い,,,,,,,,,,asinarius,,,,,,,,,,Eseloppdretter,,Langohrtüchter,,Ezelfokker,,,,,,Hodowca osłów,,criador de burros,,Criador de Jumentos,,,,Заводчик ослов,,,,,,chovateľ oslov,,,,,,Åsneuppfödare,,,,,,,,,,,
Donkey Farm,Noun,Production Building - Empire,,,,,Ферма за магарета,,,,Granja d'ases,,oslí farma,,Æselstutteri,,Eselfarm,Nach Build 20 umzubenennen in Eselzucht,Ονοστάσιο,,,,,,,,,,Granja de Asnos,,,,,,,,,Aasitalli,Asinerie,,,,,,stàball,"fir. gin. -aill, iol. -an",,,,,,,,,Szamárfarm,,,,,,,,Allevamento d'asini,,ロバ牧場,,,,,,,,,,,,,,,,,,,,Eselfarm,,Langohrtüchteree,,Ezelsstal,"formerly: ""Ezelboerderij""",,,,,Ośla farma,,criação de burros,,Fazenda de Jumentos,,,,Ослиная Ферма,,,,,,oslia farma,,,,,,Åsneuppfödning,,,,,,,,,,,
Double Trident,Noun,Ware - Weapon - Atlanteans,,,,,Двоен тризъбец,,,,Trident Doble,,dvojitý trojzubec,,Dobbelt trefork,,Doppel-Dreizack,,Διπλή Τρίαινα,,,,,,,,,,Tridente Doble,,,,,,,,,,Double trident,,,,,,muirgheadh dhùbailte,mhuirgheadh dhùbailte | muirgheidh dùbailte | muirgheadhan dhùbailte | mhuirgheadhan dhùbailte,,,,,,,,,Kétvégű szigony,,,,,,,,Tridente doppio,,ダブルトライデント,,,,,,,,,,tridens geminus,,,,,,,,,,Dobbel trefork,,Dubbelte Dreespitz,,Dubbele Drietand,,,,,,Podwójny trójząb,,tridente duplo,,Tridente de duplo,,,,Двойной Трезубец,,,,,,dvojitý trojzubec,,,,,,Dubbel treudd,,,,,,,,,,,
Double-edged Sword,Noun,Ware - Weapon - Frisians,,,,,,,,,Espasa de doble fil,,,,,,zweischneidiges Schwert,,Δίκοπο Ξίφος,,,,,,,,,,Espada de doble filo,,,,,,,,,,,,,,,,claidheamh dà-fhaobharach,,,,,,,,,,,,,,,,,,,,両刃剣,,,,,,,,,,,,,,,,,,,,,,Tweesneidigs Sweert,,,,,,,,,,,,,,,,Обоюдоострый меч,,,,,,,,,,,,,,,,,,,,,,,
Drinking Hall,Noun,Production Building - Frisians,,,,,,,,,Sala de begudes,,,,,,Trinkhalle,,Καπηλειό,,,,,,,,,,,,,,,,,,,Juomahalli,,,,,,,talla-òil,,,,,,,,,,,,,,,,,,,,宴会場,,,,,,,,,,,,,,,,,,,,,,Weertskupp,,,,,,,,,,,,,,,,Питейный зал,,,,,,,,,,,,,,,,,,,,,,,
Dry Pond,Noun,Immovable - Frisians,,,,,,,,,Estany sec,,,,,,Trockener Teich,,Ξερή Λιμνούλα,,,,,,,,,,,,,,,,,,,,,,,,,,poll tioram,,,,,,,,,,,,,,,,,,,,干上がった池,,,,,,,,,,,,,,,,,,,,,,Dröge Pool,,,,,,,,,,,,,,,,Пересохший пруд,,,,,,,,,,,,,,,,,,,,,,,
Dungeon,Noun,Training Building - Atlanteans,,,,,Тъмница,,,,Masmorra,,kobky,,Fangekælder (måske bedre med forhindringsbane),,Verlies,,Μπουντρούμι,,,,,,,,,,Calabozo,,,,,,,,,,Donjon,,,,,,toll-dubh,"fir. gin. tuill-dhuibh, iol. tuill-dhubha",,,,,,,,,Kazamata,,,,,,,,Segrete,,ダンジョン,(元: ダンジョンタワー),,,,,,,,,,,,,,,,,,,Fangehull,,Gefahrelke Gangen,"Anyone who comes up with a better translation than ""Perilous Paths"" is welcome to replace it",Kerker,,,,,,Podziemia,,masmorra,,Masmorra,,,,Темница,,,,,,kobka,,,,,,Fängelsehåla,,,,,,,,,,,
EP,Noun,Experience Points,,,,,,,,,Punts d'experiència,,ZB,,,,EP,Erfahrungspunkte,ΒΕ,,,,,,,,,,PX,"Aunque PE sería más correcto, PX es la expresión más habitual",,,,,,,,,XP,,,,,,PE,,,,,,,,,,TP,tapasztalati pont?,,,,,,,,,経験,,,,,,,,,,,,,,,,,,,,,,EP,Erfahrungs-Punkten,EP,ErvaringsPunten,,,,,,,exp,,,,,,ОП,,,,,,SB,,,,,,EP,ErfarenhetsPoäng kan väl motsvara Experience Points?,,,,,,,,,,
Economy,Noun,Game entity,,,,,Икономика,,,,Economia,,hospodářství,,Økonomi,,Wirtschaft,,Οικονομία,,,,,,,,,,Economía,Entidad del juego,,,,,,,,,Economie,,,,,,eaconamaidh,h-eaconamaidh |,,,,,,,,,Gazdaság,,,,,,,,Economia,,経済,,,,,,,,,,,,,,,,,,,,,,Wirtschaft,,Economie,,,,,,,,economia,,,,,,Экономика,,,,,,ekonomika,,,,,,Ekonomi,,,,,,,,,,,
Economy Health,Noun,,,,,,,,,,Salut econòmica,,,,,,Wirtschaftszustand,,Υγεία Οικονομίας,,,,,,,,,,,,,,,,,,,,,,,,,,slàinte an eaconamaidh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wirtschafts-Utglekenheid,"Anyone who comes up with a better translation than ""economy-evenness"" is welcome to replace this",,,,,,,,,,,,,,,Состояние экономики,,,,,,,,,,,,Ekonomisk hälsa,,,,,,,,,,,
Empire,Noun,Tribe. Placename.,,,,,Империя,,,,Imperi,,Císařství,,Imperiet,,Imperium,,Αυτοκρατορία,,,,,,,,,,Imperio,,,,,,,,,,L'Empire,,,,,,An Impireachd,na h-Impireachd | impireachd | impireachdan,,,,,,,,,Birodalom,,,,,,,,Impero,,帝国,帝国人,,,,,,,,,Imperium,,,,,,,,,,Imperiet,,Latienskes Riek,,Imperium,,,,,,Imperium,,"Império, Imperiais","country, people",Império,,,,Империя,,,,,,Impérium,,,,,,Imperiet,,,,,,,,,,,
Endless Game,Noun,Game type,,,,,Безкрайна игра,,,,Partida Sense Fi,,Nekonečná hra,,Uendeligt spil,,Endlosspiel,,Αέναο Παιχνίδι,,,,,,,,,,Juego Sin Fin,Tipo de partida,,,,,,,,,Jeu sans fin,,,,,,geama gun chrìch,,,,,,,,,,Végtelen játék,,,,,,,,Partita senza fine,,エンドレス,,,,,,,,,,ludus infinitus,,,,,,,,,,Endeløst spill,,Ewich Speel,,Eindeloos Spel,,,,,,Niekończąca się gra,,jogo sem-fim,,jogo sem-fim,,,,Свободная игра,,,,,,Nekonečná hra,,,,,,Evigt spel,,,,,,,,,,,
Erwyn,Noun,Character - Barbarian,,,,,Ъруин,,,,Erwyn (m.),,,,Erwyn,,Erwyn,,Έργουιν,,,,,,,,,,Erwyn,Personaje - Bárbaros,,,,,,,,,Erwyn,,,,,,Erwyn,,,,,,,,,,Erwyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erwin,,Erwyn,,,,,,Erwyn,,Erwyn,,,,,,Эрвин,Персонаж - Варвар,,,,,Erwyn,,,,,,Erwyn,,,,,,,,,,,
Evade,Noun,Soldier property,,,,,Ловкост,,,,Evasió,,odrážení,voják dokáže odrazit/vyhnout se útoku protivníka,Undvigelse,,Ausweichen,,Αποφυγή,,,,,,,,,,Evasión,Propiedad de soldados,,,,,,,,,Esquive,,,,,,teàrnadh,thèarnadh|,,,,,,,,,Kitérés,,,,,,,,Evasione,"Secondo me sarebbe meglio ""schivata"" (king of nowhere)",回避,,,,,,,,,,vitatio,,,,,,,,,,Unnvik,,Utwieken,,Ontwijken,,,,,,Unik,,evasão,,Evasão,,,,Уклонение,,,,,,uhýbanie,,,,,,Undvika,,,,Ухилятися,,,,,,,
Expedition,Noun,,,,,,Експедиция,,,,Expedició,,výprava,,Ekspedition,,Expedition,,Αποστολή,,,,,,,,,,Expedición,,,,,,,,Tutkimusmatka,,Expédition,,,,,,triall,fir. iol. -an,,,,,,,Ekspedicija,,Expedíció,,,,,,,,Spedizione,,探検,,,,,,,,,,,,,,,,,,,,Game entity,,Söke,Söke | Söök,Expeditie,,,,,,Ekspedycja,,espedição,,,,,,Экспедиция,,,,,,výprava,,,,,,Expedition,,,,,,,,考察,,,
Farm,Noun,"Production Building - Atlanteans, Barbarians, Empire, Frisians",,,,,Ферма,,,,Masoveria, de blat -en general- / de panís -atlants- / de civada -frisons-,Obilné pole,,Landbrug,,Bauernhof,,Αγρόκτημα,,,,,,,,,,Granja,,,,,,,,,Maatila,Ferme,,,,,,tuathanas,thuathanas | tuathanais | tuathanasan | thuathanasan,,,,,,,,,Farm,,,,,,,,Fattoria,,農場,,,,,,,,,,,,,,,,,,,,Gård,,Buurderee,,Boerderij,,,,,,Farma,,quinta,,Fazenda,,,,Ферма,,,,,,farma,,,,,,Bondgård / Majsodling,"Bondgård när vete odlas (Barbareans & Empire)
Majsodling (Atlanteans som odlar majs)",,,,,,,,,,
Farmer,Noun,"Worker - Atlanteans, Barbarians, Empire, Frisians",,,,,Фермер,,,,Agricultor,,sedlák,,Landmand,,Bauer,,Γεωργός,,,,,,,,,,Granjero,Trabajador,,,,,,,,Maanviljelijä,Fermier,,,,,,tuathanach,thuathanach | tuathanaich | thuathanaich,,,,,,,,,Földműves,,,,,,,,Contadino,,農夫,,,,,,,,,,agricola,,,,,,,,,,Bonde,,Buur,,Boer,,,,,,Farmer,,agricultor,,Fazendeiro,,,,Фермер,,,,,,farmár,,,,,,Bonde,,,,,,,,,,,
Felling Ax,Noun,"Ware - Tool - Barbarians, Empire, Frisians",,,,,Брадва за сеч,,,,Destral per talar arbres,,těžební sekera,,Skovøkse,,Holzfälleraxt,,Τσεκούρι,,,,,,,,,,Hacha de Talar,,,,,,,,,,Cognée,,,,,,tuagh leagail,thuagh leagail | tuaighe leagail | tuaghan leagail | thuaghan leagail,,,,,,,,,Favágóbalta,,,,,,,,Ascia da disboscamento,,木こり斧,(元: 伐採斧) これでもいいけど,,,,,,,,,,,,,,,,,,,,,Boomslager-Ext,,Kapbijl,,,,,,Topór drwala,,machado de abate,,,,,,Топор Дровосека,,,,,,drevorubačská sekera,,,,,,Avverkningsyxa,,,,Сокира дроворуба,,,,,,,
Fire Tongs,Noun,"Ware - Tool - Atlanteans, Barbarians, Empire, Frisians",,,,,Маша,,,,Tenalles,,Kovářské kleště,,Ildtange,,Feuerzange,,Λαβίδα Πυρός,,,,,,,,,,Tenazas,,,,,,,,,,Tenaille de Forge,,,,,,clobha teine,clobha fir. iol. -n,,,,,,,,,Tűzifogó,,,,,,,,Pinze per il fuoco,,火ばさみ,,,,,,,,,,forceps,sg.!,,,,,,,,,Ildtang,,Füürtange,,Vuurtang,,,,,,Szczypce,,tenazes,,Tenazes,,,,Клещи,,,,,,kliešte na uhlie,,,,,,Smidestång,,,,,,,,,,,
Fish,Noun,"Ware - Atlanteans, Barbarians, Empire, Frisians",,,,,Риба,,,,Peix,,ryba,,Fisk,,Fisch,,Ψάρια,,,,,,,,,,Pescado,,,,,,,,,,Poisson,,,,,,iasg,èisg|,,,,,,,,,Hal,,,,,,,,Pesce,,魚,,,,,,,,,,piscis,,,,,,,,,,Fisk,,Fiss,Fiss | Fisk | Fiske,Vis,,,,,,Ryba,,peixe,,Peixe,,,,Рыба,,,,,,ryba,,,,,,Fisk,,,,,,,,,,魚,
Fish Breeder,Noun,Worker - Atlanteans,,,,,Рибовъд,,,,Criador de Peixos,,porybný,,Fiskeopdrætter,,Fischzüchter,,Ιχθυοτρόφος,,,,,,,,,,Piscicultor,,,,,,,,,,Pisciculteur,,,,,,gille-iasg,ghille-iasg | gillean-iasg | ghillean-iasg,,,,,,,,,Haltenyésztő,,,,,,,,Allevatore di pesci,,養魚番,,,,,,,,,,,,,,,,,,,,Fiskeoppdretter,,Fisstüchter,,Viskweker,,,,,,Hodowca ryb,,piscicultor,,Piscicultor,,,,Рыбовод,,,,,,rybnikár,,,,,,Fiskodlare,,,,,,,,,,,
Fish Breeder’s House,Noun,Production Building - Atlanteans,,,,,Рибовъдска къща,,,,Casa del Criador de Peixos,,domek porybného,,Fiskeopdræt,,Fischzüchterhaus,,Σπίτι Ιχθυοτρόφου,,,,,,,,,,Casa de Piscicultor,,,,,,,,,,Maison de pisciculteur,,,,,,ionad-àraich èisg,"ionad fir. gin. -aid, iol. -an",,,,,,,,,Haltenyésztőház,,,,,,,,Casa dell'allevatore di pesci,,養魚番小屋,,,,,,,,,,,,,,,,,,,,Fiskeoppdretters hus,,Fisstüchteree,,Viskwekerij,,,,,,Chata hodowcy ryb,,casa do piscicultor,,Casa do Piscicultor,,,,Домик рыбовода,,,,,,rybnikársky dom,,,,,,Fiskodling,,,,,,,,,,,
